3056,democrat
2976,republican
117,democrat
896,democrat
2073,democrat
2555,republican
1282,republican
1563,republican
142,democrat
711,democrat
591,republican
2886,republican
728,republican
1025,democrat
216,republican
2276,democrat
66,republican
2046,democrat
3216,republican
2704,republican
1867,democrat
540,democrat
2372,republican
1212,republican
2888,democrat
243,republican
2728,republican
2821,republican
2121,democrat
936,republican
3112,democrat
3150,republican
3133,democrat
657,republican
1103,republican
2499,democrat
1475,republican
1256,democrat
1076,republican
2056,democrat
1753,republican
219,democrat
1179,republican
2793,republican
456,democrat
2105,republican
542,democrat
491,democrat
2583,republican
454,republican
1515,republican
1797,democrat
434,democrat
362,democrat
2002,democrat
2583,democrat
792,republican
606,democrat
2038,democrat
2559,republican
1594,democrat
1390,republican
2911,republican
92,republican
1073,democrat
1857,republican
2812,republican
3159,republican
993,republican
2946,republican
1313,republican
2327,republican
3100,democrat
2822,republican
3145,republican
2308,republican
1239,republican
2061,democrat
2922,democrat
1392,republican
1491,republican
182,republican
2199,democrat
118,republican
1439,democrat
2346,democrat
1341,republican
2627,republican
1004,republican
1002,republican
2987,republican
1618,republican
978,democrat
1395,democrat
2226,republican
2608,republican
857,democrat
2842,democrat
2644,democrat
1559,democrat
1802,republican
108,democrat
1575,republican
173,democrat
1181,republican
2267,democrat
2879,democrat
2327,democrat
361,republican
1015,democrat
1337,republican
2335,republican
2446,republican
547,democrat
2304,republican
2598,democrat
1726,republican
1517,republican
2595,democrat
1587,democrat
2246,republican
3049,republican
1267,republican
548,democrat
2754,republican
2219,democrat
2037,republican
459,democrat
2191,republican
245,republican
3212,republican
3087,republican
2225,democrat
1818,democrat
1687,democrat
675,republican
1419,democrat
2840,democrat
1365,republican
58,democrat
929,republican
1167,democrat
3135,republican
3173,democrat
759,republican
1305,republican
3008,democrat
2656,republican
3103,democrat
1130,democrat
3181,democrat
457,democrat
1799,democrat
1069,republican
1847,republican
1891,republican
783,republican
2081,republican
2061,democrat
729,republican
2724,republican
1108,republican
356,republican
193,republican
2628,democrat
2840,republican
558,republican
1617,republican
1497,republican
1034,republican
1787,republican
739,democrat
1827,republican
2559,republican
2531,republican
1683,democrat
691,democrat
3005,democrat
2593,democrat
2279,republican
1944,republican
2806,democrat
2967,democrat
1405,republican
2126,democrat
2761,republican
889,democrat
1769,democrat
1636,republican
436,republican
2516,republican
2983,republican
1833,republican
2188,republican
1174,democrat
2475,democrat
153,democrat
202,republican
2912,republican
2750,republican
2292,republican
25,republican
736,republican
796,democrat
2585,republican
2935,democrat
2541,democrat
3,republican
255,republican
711,republican
2084,republican
1400,republican
501,democrat
2456,democrat
2549,republican
3232,democrat
3201,republican
2136,republican
1640,democrat
974,democrat
3015,republican
1892,republican
2261,republican
2660,democrat
717,democrat
2747,democrat
87,republican
2411,republican
536,democrat
1148,republican
2505,democrat
795,republican
320,republican
2083,republican
210,democrat
2313,democrat
1463,democrat
2653,democrat
2060,republican
2455,republican
1011,democrat
2399,democrat
867,republican
590,republican
2743,republican
657,republican
1630,republican
2189,republican
1503,republican
2546,republican
2674,republican
3097,democrat
1488,republican
938,republican
2788,democrat
1743,republican
2452,democrat
1625,republican
1222,republican
777,republican
3051,republican
1642,democrat
3078,democrat
2163,democrat
1028,republican
2667,republican
1438,democrat
1208,democrat
1587,democrat
2929,republican
1953,democrat
2505,republican
2644,democrat
729,republican
1257,democrat
127,democrat
364,democrat
1806,republican
2150,democrat
1602,democrat
2412,republican
361,democrat
3180,democrat
2232,republican
1944,republican
1139,democrat
2305,republican
3012,democrat
2843,republican
3150,democrat
1519,republican
1445,republican
3095,democrat
856,republican
2668,democrat
1629,democrat
1950,democrat
1381,democrat
331,republican
163,republican
758,republican
2974,democrat
3107,republican
2586,democrat
3004,democrat
1732,republican
80,democrat
736,republican
2507,democrat
452,democrat
900,democrat
934,republican
3230,republican
954,democrat
500,republican
1460,democrat
2069,democrat
3084,democrat
2044,republican
1544,democrat
1936,republican
639,democrat
3118,democrat
366,republican
404,republican
1607,democrat
672,republican
1092,democrat
1880,republican
2383,democrat
1822,democrat
422,democrat
1690,democrat
1008,republican
2902,republican
870,republican
3041,democrat
1,democrat
1456,republican
1560,republican
2854,democrat
2384,democrat
461,democrat
888,democrat
1793,democrat
177,republican
1179,republican
2706,democrat
288,democrat
371,republican
2032,democrat
1188,republican
1702,democrat
520,republican
3233,republican
2714,democrat
2280,democrat
473,republican
2485,democrat
1680,republican
3178,democrat
274,republican
2017,democrat
1344,republican
1464,republican
1345,democrat
54,republican
1062,democrat
3052,republican
1450,democrat
2020,democrat
2993,republican
2749,democrat
1984,democrat
1399,republican
1134,republican
1172,republican
800,republican
1964,republican
1305,republican
2151,democrat
2400,democrat
267,democrat
943,democrat
1796,republican
554,republican
2248,republican
383,democrat
6,democrat
16,democrat
1283,republican
899,republican
2734,republican
1045,democrat
90,republican
250,democrat
2963,republican
794,democrat
1370,democrat
393,republican
2235,democrat
1913,republican
1159,republican
101,democrat
299,republican
580,democrat
3043,democrat
2067,democrat
3163,democrat
2483,democrat
492,republican
2244,democrat
2857,republican
69,republican
1522,democrat
2232,democrat
2172,republican
278,republican
1603,republican
167,democrat
1089,democrat
1484,republican
2381,democrat
2855,republican
2970,democrat
1955,democrat
2026,democrat
2188,republican
930,republican
68,democrat
529,democrat
1802,republican
3192,democrat
2704,democrat
1504,republican
783,democrat
2998,democrat
1531,democrat
594,democrat
761,republican
2676,republican
2377,democrat
1676,republican
2636,republican
2605,democrat
582,republican
1249,republican
674,republican
1914,democrat
665,republican
83,democrat
712,democrat
1813,democrat
26,republican
152,democrat
2791,democrat
1426,republican
1659,democrat
1926,republican
2061,republican
2035,democrat
2458,democrat
2578,republican
1794,democrat
704,democrat
958,republican
